"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219","Updates an unknown resource","ReqResCollection","Fri Sep 27 16:36:25 UTC 2024","passed","Fri Sep 27 16:36:26 UTC 2024","","","",""
"","224","Updates an unknown resource","ReqResCollection","Fri Sep 27 16:36:25 UTC 2024","passed","Fri Sep 27 16:36:25 UTC 2024","","","",""
"","249","Updates a user","ReqResCollection","Fri Sep 27 16:36:24 UTC 2024","passed","Fri Sep 27 16:36:25 UTC 2024","","","",""
"","224","Updates a user","ReqResCollection","Fri Sep 27 16:36:25 UTC 2024","passed","Fri Sep 27 16:36:25 UTC 2024","","","",""
"","224","Creates a user","ReqResCollection","Fri Sep 27 16:36:26 UTC 2024","passed","Fri Sep 27 16:36:26 UTC 2024","","","",""
"","49","Fetches a user","ReqResCollection","Fri Sep 27 16:36:24 UTC 2024","passed","Fri Sep 27 16:36:24 UTC 2024","","","",""
"","223","Ends a session","ReqResCollection","Fri Sep 27 16:36:26 UTC 2024","passed","Fri Sep 27 16:36:27 UTC 2024","","","",""
"","224","Deletes an unknown resource","ReqResCollection","Fri Sep 27 16:36:26 UTC 2024","passed","Fri Sep 27 16:36:26 UTC 2024","","","",""
"","235","Creates a user Negative","ReqResCollection","Fri Sep 27 16:36:26 UTC 2024","passed","Fri Sep 27 16:36:26 UTC 2024","","","",""
"","35","Fetches an unknown resource","ReqResCollection","Fri Sep 27 16:36:25 UTC 2024","passed","Fri Sep 27 16:36:25 UTC 2024","","","",""
"","228","Creates a session","ReqResCollection","Fri Sep 27 16:36:26 UTC 2024","passed","Fri Sep 27 16:36:26 UTC 2024","","","",""
"","224","Delete User","ReqResCollection","Fri Sep 27 16:36:25 UTC 2024","passed","Fri Sep 27 16:36:25 UTC 2024","","","",""
"","172","Fetches a resource list","ReqResCollection","Fri Sep 27 16:36:24 UTC 2024","passed","Fri Sep 27 16:36:24 UTC 2024","","","",""
"","53","Fetches a user list","ReqResCollection","Fri Sep 27 16:36:24 UTC 2024","passed","Fri Sep 27 16:36:24 UTC 2024","","","",""
